id,value,feed_id,created_at,lat,lon,ele
0FD5506HHEP1Z95KV4P0636NHS,26.7,2609495,2023-09-12 03:19:31 UTC,,,
0FD550C7HZ9Z6S42FCQPV0H3CC,26.7,2609495,2023-09-12 03:19:49 UTC,,,
0FD550HXJJMWB1XCRNC3228FA1,26.7,2609495,2023-09-12 03:20:08 UTC,,,
0FD550QKPV4JN8MAFW585ZSYZQ,26.7,2609495,2023-09-12 03:20:27 UTC,,,
0FD550X9NGRGCSFZ539MT7PPCF,26.7,2609495,2023-09-12 03:20:45 UTC,,,
0FD551300DPGCF4PRTDK2SHD84,26.7,2609495,2023-09-12 03:21:04 UTC,,,
0FD5518P7VZY4TNZA25KMFFBQ9,26.7,2609495,2023-09-12 03:21:23 UTC,,,
0FD551EBZRC1KSZB19GS86NC6W,26.7,2609495,2023-09-12 03:21:41 UTC,,,
0FD551M1XNSYHY4ZEDBNXPACBJ,26.7,2609495,2023-09-12 03:22:00 UTC,,,
0FD551SQHCQHET7GG6M1RKGVA0,26.7,2609495,2023-09-12 03:22:18 UTC,,,
0FD551ZDEKPGWKMX0QABSN4XAN,26.8,2609495,2023-09-12 03:22:37 UTC,,,
0FD55253GMADSJ17760RZK1KAF,26.8,2609495,2023-09-12 03:22:56 UTC,,,
0FD552ASX11QFW85N5VZCP97X8,26.9,2609495,2023-09-12 03:23:14 UTC,,,
0FD552GG4X118C5P9WVXV3QAJW,27.0,2609495,2023-09-12 03:23:33 UTC,,,
0FD552P61JGWQK30SPJGMA0YKW,27.0,2609495,2023-09-12 03:23:52 UTC,,,
0FD552VVZCEY5B7S6NTPXH6T1D,27.1,2609495,2023-09-12 03:24:10 UTC,,,
0FD5531HYBW3TZQKX16RWMBVXJ,27.3,2609495,2023-09-12 03:24:29 UTC,,,
0FD553781ETV3YCJMMBP4D1NHQ,27.6,2609495,2023-09-12 03:24:48 UTC,,,
0FD553CXXM1VG7JDF446D7JHGW,28.0,2609495,2023-09-12 03:25:06 UTC,,,
0FD553JM4BTTPJV73H268R10Z2,28.2,2609495,2023-09-12 03:25:25 UTC,,,
0FD553R9YARYB2EQ53TV5METGZ,28.3,2609495,2023-09-12 03:25:43 UTC,,,
0FD553Y057E7YMQGHCDWY3NZ2C,28.4,2609495,2023-09-12 03:26:02 UTC,,,
0FD5543P7X2DPCEEW6ZMSBBJAM,28.5,2609495,2023-09-12 03:26:21 UTC,,,
0FD5549CFPG4N64HQMRCTFRKAW,28.4,2609495,2023-09-12 03:26:39 UTC,,,
0FD554F2DYPRGWVT1PV8X9FZY1,28.4,2609495,2023-09-12 03:26:58 UTC,,,
0FD554MR8W4HMTQANP41DD7M3R,28.3,2609495,2023-09-12 03:27:17 UTC,,,
0FD554TEHGZ0HXZQFJQAHZF6VS,28.3,2609495,2023-09-12 03:27:35 UTC,,,
0FD55504RBHVBPDE62KF03VED3,28.2,2609495,2023-09-12 03:27:54 UTC,,,
0FD5555TQVTXSER7CSTJECWYFJ,28.2,2609495,2023-09-12 03:28:13 UTC,,,
0FD555BGKYV1K9KCQMT4NK2NED,28.1,2609495,2023-09-12 03:28:31 UTC,,,
0FD555H68WX6JQE9J5JGCY3ASQ,28.0,2609495,2023-09-12 03:28:50 UTC,,,
0FD555PW4BXJJ68Y6KM97J0EFA,28.0,2609495,2023-09-12 03:29:08 UTC,,,
